type,title,country,release_year,duration,listed_in,description,id,popularity,vote_count,vote_average
Movie,Poseidon,United States,2006,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",tt0409182,21.112,1361,5.8
Movie,Rachel Getting Married,United States,2008,113 min,"Dramas, Independent Movies",Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.,tt1084950,14.102,361,6.2
Movie,Spookley the Square Pumpkin,United States,2004,47 min,Children & Family Movies,"When a storm terrorizes his patch, a pumpkin cast out for his shape must step up to use his smarts to save the day – and to prove himself.",tt0426581,2.942,6,5.2
Movie,Superbad,United States,2007,113 min,"Comedies, Cult Movies",Two best friends' quest to buy booze for a party in the hopes of scoring with girls leads them on a series of wacky misadventures.,tt0829482,35.132,4574,7.1
Movie,The Lake House,United States,2006,98 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy","A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart.",tt0410297,17.448,1763,6.8
Movie,The Saint,United States,1997,116 min,"Action & Adventure, Romantic Movies","Hired by a Russian politician to steal the formula for cold fusion, master thief Simon Templar falls for the scientist who has unlocked the secret.",tt0120053,16.03,696,6.0
Movie,You Don't Mess with the Zohan,United States,2008,113 min,"Action & Adventure, Comedies",An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.,tt0960144,28.533,2484,5.6
Movie,Brick,United States,2005,110 min,"Independent Movies, Thrillers",Teenage loner Brendan Fry navigates his high school's intense social network to discover a killer's identity after his secret crush is murdered.,tt0393109,16.568,756,6.9
Movie,Delirium,United States,2018,96 min,"Horror Movies, Thrillers",A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.,tt2069797,25.11,140,5.4
Movie,Murder Party,United States,2007,79 min,"Comedies, Cult Movies, Horror Movies","A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party.""",tt0878695,9.071,161,5.7
Movie,Stephanie,United States,2017,86 min,Horror Movies,"A menacing, unseen force stalks a young girl living by herself in a suburban house, where she's surrounded by reminders of her once-happy family.",tt3829378,15.56,124,5.8
Movie,Terrifier,United States,2017,84 min,"Horror Movies, Independent Movies, Thrillers","On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence.",tt4281724,34.569,241,6.0
